network,architecture,energy_model,optical_loss_db_per_stage,mapping,stationarity,layers,energy_j,latency_s,edp_j_s,frontier_states,accuracy,accuracy_status
gpt2_medium,c8_r4,optimistic_constant_symbol,1.0,ASWM-WS,WS,145,143.78482785680927,2.262905651200001,325.371499513993,1,,NOT_MODELED
gpt2_medium,c8_r4,linear_bit,0.0,ASWM-WS,WS,145,383.91792442706236,2.262905651200001,868.7700407829743,60338,,NOT_MODELED
gpt2_medium,c8_r4,linear_bit,0.5,ASWM-WS,WS,145,383.9714867926591,2.262905651200001,868.8912473627748,60338,,NOT_MODELED
gpt2_medium,c8_r4,linear_bit,1.0,ASWM-WS,WS,145,384.0315847553145,2.262905651200001,869.0272433820933,60338,,NOT_MODELED
gpt2_medium,c8_r4,conservative_walden,0.0,ASWM-WS,WS,145,343.09673781972754,4.525811302400002,1552.791093841093,184208,,NOT_MODELED
gpt2_medium,c8_r4,conservative_walden,0.5,ASWM-WS,WS,145,343.4576969323492,4.525811302400002,1554.4247266727007,183773,,NOT_MODELED
gpt2_medium,c8_r4,conservative_walden,1.0,ASWM-WS,WS,145,343.96756523100134,4.525811302400002,1556.7322943814759,182425,,NOT_MODELED
gpt2_medium,paper_optimum_8x8,optimistic_constant_symbol,0.0,ASWM-WS,WS,145,95.75783254350736,2.2629318656000006,216.69345064349156,1,,NOT_MODELED
gpt2_medium,paper_optimum_8x8,optimistic_constant_symbol,0.5,ASWM-WS,WS,145,95.78454134265564,2.2629318656000006,216.7538908361761,1,,NOT_MODELED
gpt2_medium,paper_optimum_8x8,optimistic_constant_symbol,1.0,ASWM-WS,WS,145,95.81450910819211,2.2629318656000006,216.82170584774943,1,,NOT_MODELED
gpt2_medium,paper_optimum_8x8,linear_bit,0.0,ASWM-WS,WS,145,215.46867805832318,2.2629318656000006,487.5909376168872,62018,,NOT_MODELED
gpt2_medium,paper_optimum_8x8,linear_bit,0.5,ASWM-WS,WS,145,215.49538685747166,2.2629318656000006,487.6513778095722,62018,,NOT_MODELED
gpt2_medium,paper_optimum_8x8,linear_bit,1.0,ASWM-WS,WS,145,215.52535462300804,2.2629318656000006,487.7191928211453,62018,,NOT_MODELED
gpt2_medium,paper_optimum_8x8,conservative_walden,0.0,ASWM-WS,WS,145,211.46339538963105,4.525863731200001,957.0545116703366,148176,,NOT_MODELED
gpt2_medium,paper_optimum_8x8,conservative_walden,0.5,ASWM-WS,WS,145,211.64448662641766,4.525863731200001,957.8741059309474,147502,,NOT_MODELED
gpt2_medium,paper_optimum_8x8,conservative_walden,1.0,ASWM-WS,WS,145,211.90028479738112,4.525863731200001,959.0318135954182,146154,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,ASWM-WS,WS,145,70.41978371952723,2.2629842944000007,159.358864572335,1,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,ASWM-WS,WS,145,70.4264790136291,2.2629842944000007,159.3740159177339,1,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,1.0,ASWM-WS,WS,145,70.43399125716832,2.2629842944000007,159.39101600687886,1,,NOT_MODELED
gpt2_medium,c8_r32,linear_bit,0.0,ASWM-WS,WS,145,100.45062116547882,2.2629842944000007,227.31817806020285,1,,NOT_MODELED
gpt2_medium,c8_r32,linear_bit,0.5,ASWM-WS,WS,145,100.45731645958054,2.2629842944000007,227.33332940560143,1,,NOT_MODELED
gpt2_medium,c8_r32,linear_bit,1.0,ASWM-WS,WS,145,100.46482870311979,2.2629842944000007,227.3503294947465,1,,NOT_MODELED
gpt2_medium,c8_r32,conservative_walden,0.0,ASWM-WS,WS,145,210.56369180063433,2.2629842944000007,476.5023275157177,60578,,NOT_MODELED
gpt2_medium,c8_r32,conservative_walden,0.5,ASWM-WS,WS,145,210.5703870947361,2.2629842944000007,476.5174788611164,60578,,NOT_MODELED
gpt2_medium,c8_r32,conservative_walden,1.0,ASWM-WS,WS,145,210.57789933827536,2.2629842944000007,476.5344789502614,60578,,NOT_MODELED
