network,architecture,variant,slice_bits,energy_model,optical_loss_db_per_stage,accuracy_status,layers,energy_j,latency_s,edp_j_s
mobilenet_v3,c8_r4,mbosa4,4,linear_bit,0.5,NOT_MODELED,64,1.1997872053968144,0.008670336,0.010402558199291395
mobilenet_v3,c8_r4,mbosa4,4,linear_bit,1.0,NOT_MODELED,64,1.2000025818269138,0.008670336,0.010404425585306838
mobilenet_v3,c8_r4,mbosa4,4,conservative_walden,0.0,NOT_MODELED,64,3.9609676179192443,0.008670336,0.03434292013247947
mobilenet_v3,c8_r4,mbosa4,4,conservative_walden,0.5,NOT_MODELED,64,3.9611595723646227,0.008670336,0.034344584442017594
mobilenet_v3,c8_r4,mbosa4,4,conservative_walden,1.0,NOT_MODELED,64,3.961374948794722,0.008670336,0.03434645182803304
gpt2_medium,deap_wide_kernel,mbosa4,4,optimistic_constant_symbol,0.0,NOT_MODELED,145,47.24028678677277,2.040823808,96.40910197119368
gpt2_medium,deap_wide_kernel,mbosa4,4,optimistic_constant_symbol,0.5,NOT_MODELED,145,47.25912354484851,2.040823808,96.44754447554018
gpt2_medium,deap_wide_kernel,mbosa4,4,optimistic_constant_symbol,1.0,NOT_MODELED,145,47.280258735028696,2.040823808,96.49067767484652
gpt2_medium,deap_wide_kernel,mbosa4,4,linear_bit,0.0,NOT_MODELED,145,53.64688987053172,2.040823808,109.48385007293517
gpt2_medium,deap_wide_kernel,mbosa4,4,linear_bit,0.5,NOT_MODELED,145,53.66572662860746,2.040823808,109.52229257728166
gpt2_medium,deap_wide_kernel,mbosa4,4,linear_bit,1.0,NOT_MODELED,145,53.686861818787655,2.040823808,109.56542577658801
gpt2_medium,deap_wide_kernel,mbosa4,4,conservative_walden,0.0,NOT_MODELED,145,77.13776784431458,2.040823808,157.42459311265404
gpt2_medium,deap_wide_kernel,mbosa4,4,conservative_walden,0.5,NOT_MODELED,145,77.15660460239032,2.040823808,157.46303561700051
gpt2_medium,deap_wide_kernel,mbosa4,4,conservative_walden,1.0,NOT_MODELED,145,77.17773979257052,2.040823808,157.50616881630688
gpt2_medium,c8_r16,mbosa1,1,optimistic_constant_symbol,0.0,NOT_MODELED,145,176.77418809311305,9.051937177600001,1600.1488452401054
gpt2_medium,c8_r16,mbosa1,1,optimistic_constant_symbol,0.5,NOT_MODELED,145,177.31794831522603,9.051937177600001,1605.07092861035
