energy_model,optical_loss_db_per_stage,mapping,architecture,geometric_mean_edp,rank
optimistic_constant_symbol,0.0,Mixed-1bit,c4_r32,7.763276616336124,4
optimistic_constant_symbol,0.0,Mixed-1bit,c4_r16,7.841442932031321,5
optimistic_constant_symbol,0.0,Mixed-1bit,c4_r8,8.101470920089517,6
optimistic_constant_symbol,0.0,Mixed-1bit,c8_r4,9.135063155413215,7
optimistic_constant_symbol,0.0,Mixed-1bit,compact_4x4,10.36319990392193,8
optimistic_constant_symbol,0.5,ASWM-IS,c8_r32,1.060332580937799,1
optimistic_constant_symbol,0.5,ASWM-IS,c4_r32,1.9968967236143547,2
optimistic_constant_symbol,0.5,ASWM-IS,c8_r16,2.21381227965264,3
optimistic_constant_symbol,0.5,ASWM-IS,c4_r16,4.311443379780631,4
optimistic_constant_symbol,0.5,ASWM-IS,paper_optimum_8x8,4.749697339780517,5
optimistic_constant_symbol,0.5,ASWM-IS,c4_r8,13.401570428669373,6
optimistic_constant_symbol,0.5,ASWM-IS,c8_r4,13.441126092729387,7
optimistic_constant_symbol,0.5,ASWM-IS,compact_4x4,34.399542042987775,8
optimistic_constant_symbol,0.5,ASWM-WS,c8_r16,0.8617198834932039,1
optimistic_constant_symbol,0.5,ASWM-WS,c8_r32,0.8741605717080343,2
optimistic_constant_symbol,0.5,ASWM-WS,paper_optimum_8x8,0.9480145429530512,3
optimistic_constant_symbol,0.5,ASWM-WS,c4_r16,1.1128364580297094,4
optimistic_constant_symbol,0.5,ASWM-WS,c4_r8,1.2250537090741187,5
optimistic_constant_symbol,0.5,ASWM-WS,c8_r4,1.3055386314444395,6
optimistic_constant_symbol,0.5,ASWM-WS,c4_r32,1.3850569946343012,7
optimistic_constant_symbol,0.5,ASWM-WS,compact_4x4,1.7327406752512415,8
optimistic_constant_symbol,0.5,Joint-ASWM,c8_r32,0.6996349794249812,1
optimistic_constant_symbol,0.5,Joint-ASWM,c8_r16,0.8212652683787827,2
optimistic_constant_symbol,0.5,Joint-ASWM,paper_optimum_8x8,0.9480145429530512,3
optimistic_constant_symbol,0.5,Joint-ASWM,c4_r16,1.1128364580297094,4
optimistic_constant_symbol,0.5,Joint-ASWM,c4_r32,1.172889737493697,5
optimistic_constant_symbol,0.5,Joint-ASWM,c4_r8,1.2250537090741187,6
optimistic_constant_symbol,0.5,Joint-ASWM,c8_r4,1.3055386314444395,7
optimistic_constant_symbol,0.5,Joint-ASWM,compact_4x4,1.7327406752512422,8
optimistic_constant_symbol,0.5,Mixed-1bit,c8_r32,5.799718445468594,1
optimistic_constant_symbol,0.5,Mixed-1bit,c8_r16,6.693610646534333,2
optimistic_constant_symbol,0.5,Mixed-1bit,paper_optimum_8x8,7.4572870799444475,3
optimistic_constant_symbol,0.5,Mixed-1bit,c4_r32,7.773019871149274,4
