network,architecture,energy_model,optical_loss_db_per_stage,layer,slice_bits,energy_j,latency_s,accuracy,accuracy_status
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/036,4,0.6000829593947121,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/037,4,0.19897212196890587,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/038,4,0.0002152537479444288,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/039,4,0.000763175877293004,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/040,4,0.7895545972121919,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/041,4,0.7958884878756235,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/042,4,0.6000829593947121,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/043,4,0.19897212196890587,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/044,4,0.0002152537479444288,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/045,4,0.000763175877293004,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/046,4,0.7895545972121919,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/047,4,0.7958884878756235,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/048,4,0.6000829593947121,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/049,4,0.19897212196890587,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/050,4,0.0002152537479444288,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/051,4,0.000763175877293004,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/052,4,0.7895545972121919,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.5,gpt2_medium/053,4,0.7958884878756235,0.0268435456,,NOT_MODELED
